,content,tags,data,place
0,요즘은 유가 불쌍한지 유엄마가 불쌍한지 매일매일 대결하는 느낌이다 ???♂? #코로나일상#새해복많이받으세요 육아맘들 육아대디들 #힘내세요,"['#코로나일상', '#새해복많이받으세요', '#힘내세요']",2020-12-31,Suwon
1,#2021다이어리다이어리를 급하게 사느라??어제 도착했어요~!일 단위로 쉽게 적을수 있는 다이어리를 선택했습니다.??저는 다이어리를 잘 못쓰거든요 ㅋㅋ올해에는 진짜 안쓰면임헌수 소장님 표현대로디질거같아서 ㅋㅋ정신차리고 쓰려고 합니다??..그리고 계획에 없던성경필사를 끼워 넣었어요~!피드보다가  인친님께서 중국어로 성경필사를...??저는 한국어로라도 써야겠다라는 생각에??..올한해 너덜너덜해 질때까지한번 써보자??..#목표 #계획 #성경필사 #다이어리쓰기 #하루하루가소중해 #자기계발 #공부하자 #오늘부터1일 #집순이일상 #집콕일상 #코로나일상 #씨클 #씨클3기,"['#2021다이어리다이어리를', '#목표', '#계획', '#성경필사', '#다이어리쓰기', '#하루하루가소중해', '#자기계발', '#공부하자', '#오늘부터1일', '#집순이일상', '#집콕일상', '#코로나일상', '#씨클', '#씨클3기']",2021-01-03,
2,??2021년 대박내실평생친구들?사랑합니다????#평범한우리가해냅니다#빛나는_인셀덤발라또??? ?? ?????????????????#발라또본부 대리점장 황지원???? 010 2058 2825???#마창대교#이탈리안717#거리두기실천#코로나일상#마산인셀덤#창원인셀덤#인셀덤황지원#보타랩황지원????,"['#평범한우리가해냅니다', '#빛나는_인셀덤발라또???', '#발라또본부', '#마창대교', '#이탈리안717', '#거리두기실천', '#코로나일상', '#마산인셀덤', '#창원인셀덤', '#인셀덤황지원', '#보타랩황지원????']",2021-01-02,마창대교가보이는 귀산동바닷가
3,벌써 새벽 2:43 ?장 #코로나19물러가라 #코로나조심 #코로나예방 #코로나꺼져?? #코로나물러가라 #코로나싫어 #코로나일상,"['#코로나19물러가라', '#코로나조심', '#코로나예방', '#코로나꺼져??', '#코로나물러가라', '#코로나싫어', '#코로나일상']",2021-01-02,내방안?
4,아무도 없다 에헤?ㅎ(´∀`)...코스트코 가면 꼭 사는 것 있나욤 ????,[],2021-01-03,Costco
5,"요즘 보통의 외출 코스.. 스타벅스에서 커피를 테이크아웃하고, 마트들려서 식자재사오기.. 하.하.하.??덕분에 의도치 않게 프리퀸시를 다 모았어요.????#2020안녕2021안녕#새해복많이받으세요#스타벅스다이어리????#코로나일상 #홈스타그램 #카페스타그램 #커피한잔 #소소한일상 #또가고싶다 #신혼인스타 #럽스타그램 #직장인스타그램 #여행 #travel #trip #travelgram #instatrip #맛스타그램 #먹스타 #delicious #instafood #팔로우미 #소통 #맞팔환영","['#2020안녕2021안녕', '#새해복많이받으세요', '#스타벅스다이어리????', '#코로나일상', '#홈스타그램', '#카페스타그램', '#커피한잔', '#소소한일상', '#또가고싶다', '#신혼인스타', '#럽스타그램', '#직장인스타그램', '#여행', '#travel', '#trip', '#travelgram', '#instatrip', '#맛스타그램', '#먹스타', '#delicious', '#instafood', '#팔로우미', '#소통', '#맞팔환영']",2021-01-02,
6,"< 함께한 2020  2020.12.31- >?지난 1월을 마지막으로해외 출장이 없었던 나는너무나 사랑스럽고 예쁜 너희들의 6살과 7살 모습을오롯이 지켜보고 함께할 수 있었기에.지치고 힘들지라도그동안 못다 채워준 엄마의 빈자리를몰아서(?) 채워준 것 같아 뿌듯한 마음도 있고.? 지독하게 아프기도, 힘들고 괴로워도즐겁고 행복하게 보낼 수 있었던건우리 가족이 함께 했기 때문이지 않을까..??돌이켜보면..이렇게 마주 앉아 함께한 시간이여태껏 중에 제일 많았던 한 해였다.? #2020 #돌아보기 #고생했어 #잘했어#굿바이2020 #행복한우리가족 #코로나일상#가족스타그램 #맘스타그램 #육아스타그램?#goodbye2020 #covidyear #???????????#familygoals #momlife","['#2020', '#돌아보기', '#고생했어', '#잘했어', '#굿바이2020', '#행복한우리가족', '#코로나일상', '#가족스타그램', '#맘스타그램', '#육아스타그램?', '#goodbye2020', '#covidyear', '#??\u200d??\u200d??\u200d??', '#familygoals', '#momlife']",2021-01-01,
7,?? 맛저하시고 계신가요? ^^크리스마스가 지나고 새해가 시작되었지만 집에선 여전히 산타내복 입고 계시는 이제 8살언니가 된 따님??.이번에 산타한테 받은 모두의마블 하시면서 매우 즐거우셔요~ ??..최장기간 집콕으로 인해 겨울인데 날씨가 추운지 어쩐지도 모르고 지내고 있는데요~ 올해는 코로나가 빨리 끝나서 여행 좀 실컷 다니고싶네요. 여행피드 하고싶다??.그래도 새해가 되면서 일주일의 인스타차단 풀려서 매우 행복한 윤이맘인데요 ㅋㅋ.퓨어클링수세미는 주인장 부재로 다소 외면받았지만 ?? 주인장의 귀환으로 오늘 엄청난 판매량을 보이고 있는 스미글필통과 그뒤를 따라가는 엔젯오리진비타민D 관심과 사랑에 너무 감사드립니다.??역시 주인장은 필요한 거였죠???.하지만 우리의 퓨어클링수세미는 아직 진행중이고요(내일이마감입니다)ㅋㅋ금일자정 대망의 장인정신에브리데이 브리드가 본품증정 이벤트와 함께 오픈합니다.?..그런데 말이에요??브리드공구요 구매이벤트를 한번 해볼까요? 말까요? 원하시는분계신지 궁금하네요 ㅋㅋ 왜냐면 공구때마다 구매이벤트 많이 참여안하셔서 소심해졌거든요??의견달아주시면 내일 브리드 오픈피드에 반영해서 올려보겠습니다??,[],2021-01-02,
8,탐라반상의 요리는제주의 자연으로부터 나옵니다..???♀?카카오채널- 탐라반상?????♀?새해 복 많이 받으세요?????♀?..#집콕#차콕#홈콕#코로나일상#슬기로운코로나생활#코로나극복하기..우리 모두 아프지 말고행복하게 살아가요뭐니뭐니해도 건강이 최고편안한 마음이 최고소중한 이 시간을 즐겨요서로를 응원해요 오오오..#제주일출#제주바다#제주여행코스#탐라반상#추천맛집#제주추천맛집#제주리나#리나마켓#제주살이#도민맛집,"['#집콕', '#차콕', '#홈콕', '#코로나일상', '#슬기로운코로나생활', '#코로나극복하기..우리', '#제주일출', '#제주바다', '#제주여행코스', '#탐라반상', '#추천맛집', '#제주추천맛집', '#제주리나', '#리나마켓', '#제주살이', '#도민맛집']",2021-01-01,제주도 해안도로
9,다시 시작#안녕2021 #시작 #마스크착용 #코로나조심 #지난여행 #코로나일상,"['#안녕2021', '#시작', '#마스크착용', '#코로나조심', '#지난여행', '#코로나일상']",2021-01-03,태안펜션그람피하우스
